hum,tgt
A1BG,A1bg
A2M,A2m
AADAC,Aadac
AAMP,Aamp
AANAT,Aanat
AARS1,Aars1
ABAT,Abat
ABCA1,Abca1
ABCA2,Abca2
ABCA3,Abca3
ABCB7,Abcb7
ABCF1,Abcf1
ABCA4,Abca4
ABL1,Abl1
AOC1,Aoc1
ABL2,Abl2
ABO,Abo
ABR,Abr
ACACA,Acaca
ACACB,Acacb
ACADL,Acadl
ACADM,Acadm
ACADS,Acads
ACADSB,Acadsb
ACADVL,Acadvl
ACAT1,Acat1
ACAT2,Acat2
ASIC2,Asic2
ASIC1,Asic1
ACHE,Ache
ACLY,Acly
ACO1,Aco1
ACR,Acr
ACO2,Aco2
ACOX1,Acox1
ACP1,Acp1
ACP2,Acp2
ACP5,Acp5
ACP3,Acp3
ACTA1,Acta1
ACTA2,Acta2
ACTB,Actb
ACTC1,Actc1
ACTG1,Actg1
ACTG2,Actg2
ACTN4,Actn4
ACTL6A,Actl6a
ACTN1,Actn1
ACTN2,Actn2
ACTN3,Actn3
ACVR1,Acvr1
ACVR1B,Acvr1b
ACVR2A,Acvr2a
ACVR2B,Acvr2b
ACVRL1,Acvrl1
ACY1,Acy1
ACYP1,Acyp1
ACYP2,Acyp2
ADA,Ada
ADAM8,Adam8
ADAM10,Adam10
ADAR,Adar
ADARB1,Adarb1
ADARB2,Adarb2
ADCY1,Adcy1
ADCY2,Adcy2
ADCY3,Adcy3
ADCY5,Adcy5
ADCY6,Adcy6
ADCY7,Adcy7
ADCY8,Adcy8
ADCY9,Adcy9
ADCYAP1,Adcyap1
ADCYAP1R1,Adcyap1r1
ADD1,Add1
ADD2,Add2
ADD3,Add3
PLIN2,Plin2
ADH1C,Adh1c
ADH4,Adh4
ADH5,Adh5
ADH6,Adh6
ADH7,Adh7
ADK,Adk
ADM,Adm
ADORA1,Adora1
ADORA2A,Adora2a
ADORA2B,Adora2b
ADORA3,Adora3
ADPRH,Adprh
PARP1,Parp1
PARP4,Parp4
ADRA1D,Adra1d
ADRA1B,Adra1b
ADRA1A,Adra1a
ADRA2A,Adra2a
ADRA2B,Adra2b
ADRA2C,Adra2c
ADRB1,Adrb1
ADRB2,Adrb2
ADRB3,Adrb3
GRK2,Grk2
GRK3,Grk3
ADSL,Adsl
ADSS2,Adss2
AP2A1,Ap2a1
AP2A2,Ap2a2
AP1B1,Ap1b1
AP2B1,Ap2b1
AP1G1,Ap1g1
AEBP1,Aebp1
TLE5,Tle5
CRISP1,Crisp1
AGA,Aga
ACAN,Acan
AGER,Ager
AGL,Agl
AGRP,Agrp
JAG1,Jag1
AGT,Agt
AGTR1,Agtr1b
AGTR2,Agtr2
APLNR,Aplnr
AGXT,Agxt
NR0B1,Nr0b1
AHCY,Ahcy
AHR,Ahr
AHSG,Ahsg
AIF1,Aif1
CRYBG1,Crybg1
AK1,Ak1
AK2,Ak2
AK4,Ak4
AKT1,Akt1
AKT2,Akt2
ALAD,Alad
ALAS1,Alas1
ALAS2,Alas2
ALB,Alb
ALCAM,Alcam
ABCD1,Abcd1
ALDH1A1,Aldh1a1
ALDH2,Aldh2
ALDH3A1,Aldh3a1
ALDH1B1,Aldh1b1
ALDH1A3,Aldh1a3
ALDH3B1,Aldh3b1
ALDH9A1,Aldh9a1
ALDH3A2,Aldh3a2
ABCD2,Abcd2
ALDOA,Aldoa
ALDOB,Aldob
ALDOC,Aldoc
AKR1B1,Akr1b1
ALK,Alk
ALOX12,Alox12
ALOX5,Alox5
ALOX5AP,Alox5ap
ALOX12B,Alox12b
ALOX15B,Alox15b
ALPL,Alpl
ALX3,Alx3
AMBN,Ambn
AMBP,Ambp
AMD1,Amd1
AMELX,Amelx
AMFR,Amfr
AMH,Amh
AMHR2,Amhr2
AMPD1,Ampd1
AMPD2,Ampd2
AMPD3,Ampd3
AMPH,Amph
BIN1,Bin1
AMT,Amt
ANG,Ang
